timestamp,agent.name,rule.description,rule.level,rule.id
"Jun 30, 2026 @ 23:02:25.114","srv-prod","sshd: authentication failed.","5","5760"
"Jun 30, 2026 @ 23:02:25.114","srv-prod","sshd: authentication failed.","5","5760"
"Jun 30, 2026 @ 23:02:25.113","srv-prod","sshd: authentication failed.","5","5760"
"Jun 30, 2026 @ 23:02:23.094","srv-prod","sshd: authentication failed.","5","5760"
"Jun 30, 2026 @ 23:02:23.094","srv-prod","sshd: authentication failed.","5","5760"
"Jun 30, 2026 @ 23:02:23.094","srv-prod","sshd: brute force trying to get access to the system. Authentication failed.","10","5763"
"Jun 30, 2026 @ 23:02:23.094","srv-prod","sshd: authentication failed.","5","5760"
"Jun 30, 2026 @ 23:02:21.085","srv-prod","sshd: authentication failed.","5","5760"
"Jun 30, 2026 @ 23:02:21.085","srv-prod","sshd: authentication failed.","5","5760"
"Jun 30, 2026 @ 23:02:21.085","srv-prod","sshd: authentication failed.","5","5760"
"Jun 30, 2026 @ 23:02:21.085","srv-prod","sshd: authentication failed.","5","5760"
"Jun 30, 2026 @ 23:02:21.084","srv-prod","PAM: Login session opened.","3","5501"
"Jun 30, 2026 @ 23:02:21.084","srv-prod","Successful sudo to ROOT executed.","3","5402"
"Jun 30, 2026 @ 23:02:19.058","srv-prod","PAM: Login session closed.","3","5502"
"Jun 30, 2026 @ 23:00:24.124","srv-prod","Wazuh server started.","3","502"
"Jun 30, 2026 @ 23:00:20.922","srv-prod","PAM: Login session opened.","3","5501"
"Jun 30, 2026 @ 23:00:20.922","srv-prod","Successful sudo to ROOT executed.","3","5402"
"Jun 30, 2026 @ 23:00:20.921","srv-prod","PAM: Login session closed.","3","5502"
"Jun 30, 2026 @ 23:00:12.669","srv-prod","Host-based anomaly detection event (rootcheck).","7","510"
"Jun 30, 2026 @ 23:00:12.578","srv-prod","Host-based anomaly detection event (rootcheck).","7","510"
"Jun 30, 2026 @ 22:59:40.547","srv-prod","PAM: Login session closed.","3","5502"
"Jun 30, 2026 @ 22:59:38.544","srv-prod","PAM: Login session opened.","3","5501"
"Jun 30, 2026 @ 22:59:38.544","srv-prod","Successful sudo to ROOT executed.","3","5402"
"Jun 30, 2026 @ 22:59:30.532","srv-prod","PAM: Login session closed.","3","5502"
"Jun 30, 2026 @ 22:59:30.532","srv-prod","PAM: Login session opened.","3","5501"
"Jun 30, 2026 @ 22:59:30.532","srv-prod","PAM: Login session opened.","3","5501"
"Jun 30, 2026 @ 22:59:30.532","srv-prod","Successful sudo to ROOT executed.","3","5402"
"Jun 30, 2026 @ 22:59:30.532","srv-prod","Successful sudo to ROOT executed.","3","5402"
"Jun 30, 2026 @ 22:59:30.532","srv-prod","PAM: Login session opened.","3","5501"
"Jun 30, 2026 @ 22:59:30.532","srv-prod","Successful sudo to ROOT executed.","3","5402"
"Jun 30, 2026 @ 22:59:30.532","srv-prod","PAM: Login session closed.","3","5502"
"Jun 30, 2026 @ 22:59:30.532","srv-prod","PAM: Login session closed.","3","5502"
"Jun 30, 2026 @ 22:59:30.531","srv-prod","PAM: Login session opened.","3","5501"
"Jun 30, 2026 @ 22:59:30.531","srv-prod","PAM: Login session closed.","3","5502"
"Jun 30, 2026 @ 22:59:30.531","srv-prod","Successful sudo to ROOT executed.","3","5402"
"Jun 30, 2026 @ 22:55:32.193","srv-prod","Successful sudo to ROOT executed.","3","5402"
"Jun 30, 2026 @ 22:55:32.193","srv-prod","PAM: Login session closed.","3","5502"
"Jun 30, 2026 @ 22:55:32.193","srv-prod","PAM: Login session opened.","3","5501"
"Jun 30, 2026 @ 22:53:43.791","srv-prod","Successful sudo to ROOT executed.","3","5402"
"Jun 30, 2026 @ 22:53:43.791","srv-prod","PAM: Login session opened.","3","5501"
"Jun 30, 2026 @ 22:53:43.791","srv-prod","PAM: Login session closed.","3","5502"
